Date,Start,Visitor/Neutral,PTSV,Home/Neutral,PTSH,Attend.,Notes
Tue Oct 25 2016,7:30p,New York Knicks,88,Cleveland Cavaliers,117,20562,
Tue Oct 25 2016,10:00p,Utah Jazz,104,Portland Trail Blazers,113,19446,
Tue Oct 25 2016,10:30p,San Antonio Spurs,129,Golden State Warriors,100,19596,
Wed Oct 26 2016,7:00p,Dallas Mavericks,121,Indiana Pacers,130,17923,
Wed Oct 26 2016,7:00p,Miami Heat,108,Orlando Magic,96,19298,
Wed Oct 26 2016,7:30p,Detroit Pistons,91,Toronto Raptors,109,19800,
Wed Oct 26 2016,7:30p,Brooklyn Nets,117,Boston Celtics,122,18624,
Wed Oct 26 2016,8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,18717,
Wed Oct 26 2016,8:00p,Denver Nuggets,107,New Orleans Pelicans,102,15869,
Wed Oct 26 2016,8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,18119,
Wed Oct 26 2016,8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,20487,
Wed Oct 26 2016,10:00p,Sacramento Kings,113,Phoenix Suns,94,18055,
Wed Oct 26 2016,10:30p,Houston Rockets,114,Los Angeles Lakers,120,18997,
Thu Oct 27 2016,7:30p,Washington Wizards,99,Atlanta Hawks,114,19049,
Thu Oct 27 2016,8:00p,Boston Celtics,99,Chicago Bulls,105,21501,
Thu Oct 27 2016,10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,19500,
Thu Oct 27 2016,10:30p,San Antonio Spurs,102,Sacramento Kings,94,17608,
Fri Oct 28 2016,7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,19800,
Fri Oct 28 2016,7:30p,Indiana Pacers,94,Brooklyn Nets,103,17732,
Fri Oct 28 2016,7:30p,Orlando Magic,82,Detroit Pistons,108,19122,
Fri Oct 28 2016,8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,18203,
Fri Oct 28 2016,8:00p,Charlotte Hornets,97,Miami Heat,91,19600,
