winner,loser,probability
Boston Celtics,Cleveland Cavaliers,0.53611400681
Houston Rockets,Golden State Warriors,0.517232517881
Boston Celtics,Milwaukee Bucks,0.531493249261
Atlanta Hawks,Dallas Mavericks,0.548189313516
Detroit Pistons,Charlotte Hornets,0.529253893301
Brooklyn Nets,Indiana Pacers,0.577358404542
New Orleans Pelicans,Memphis Grizzlies,0.54189421172
Miami Heat,Orlando Magic,0.521780136484
Phoenix Suns,Portland Trail Blazers,0.533768632923
Sacramento Kings,Houston Rockets,0.513826868841
San Antonio Spurs,Minnesota Timberwolves,0.668186215258
Utah Jazz,Denver Nuggets,0.614933555461
Philadelphia 76ers,Washington Wizards,0.520210809898
Los Angeles Lakers,Los Angeles Clippers,0.550690717092
Oklahoma City Thunder,New York Knicks,0.590537601433
Toronto Raptors,Chicago Bulls,0.639191758673
Orlando Magic,Brooklyn Nets,0.584439665728
Charlotte Hornets,Atlanta Hawks,0.562112506477
Sacramento Kings,Dallas Mavericks,0.610410861713
Portland Trail Blazers,Indiana Pacers,0.518987448588
Milwaukee Bucks,Cleveland Cavaliers,0.555392946892
Minnesota Timberwolves,Utah Jazz,0.648120584709
Golden State Warriors,New Orleans Pelicans,0.546371909603
Boston Celtics,Philadelphia 76ers,0.564785544758
Phoenix Suns,Los Angeles Lakers,0.556475721431
Washington Wizards,Detroit Pistons,0.537972033696
Chicago Bulls,San Antonio Spurs,0.6278529499
Orlando Magic,Cleveland Cavaliers,0.541334407131
Denver Nuggets,Sacramento Kings,0.573309639252
Dallas Mavericks,Houston Rockets,0.575990909072
Los Angeles Clippers,Phoenix Suns,0.52598878958
Golden State Warriors,Memphis Grizzlies,0.510319009752
Indiana Pacers,Miami Heat,0.513516852289
Milwaukee Bucks,Portland Trail Blazers,0.505401335204
New York Knicks,Detroit Pistons,0.516523114384
Toronto Raptors,Philadelphia 76ers,0.507615934778
Utah Jazz,Oklahoma City Thunder,0.624758831523
Atlanta Hawks,Brooklyn Nets,0.513280465439
New Orleans Pelicans,Los Angeles Lakers,0.50144408095
Oklahoma City Thunder,Minnesota Timberwolves,0.709754881669
Golden State Warriors,Dallas Mavericks,0.603794939418
Denver Nuggets,Washington Wizards,0.669460776131
Philadelphia 76ers,Detroit Pistons,0.542318265202
Memphis Grizzlies,Houston Rockets,0.520704201706
Miami Heat,Atlanta Hawks,0.528580891995
Milwaukee Bucks,Charlotte Hornets,0.546784620271
Phoenix Suns,Sacramento Kings,0.541467994719
San Antonio Spurs,Toronto Raptors,0.630394235409
New York Knicks,Boston Celtics,0.522172855867
